text,labels
"Your bank account will be blocked. Verify immediately",spam
"Your bank account has been suspended. Verify your details now",spam
"Urgent: verify your bank account to avoid suspension",spam
"Your account will be blocked unless you complete verification",spam
"Complete your KYC verification immediately or your account will be blocked",spam
"Your KYC has expired. Click the link to update it",spam
"Verify your banking details immediately to keep your account active",spam
"Your bank account requires urgent verification",spam
"Click the link to verify your bank account immediately",spam
"Your account is at risk of suspension. Verify now",spam
"Your bank account has been restricted. Complete verification immediately",spam
"Update your KYC immediately to prevent account closure",spam
"Your bank account will be closed. Verify your identity now",spam
"Urgent bank verification required. Click the link now",spam
"Your account has been flagged. Verify your details immediately",spam
"Share your OTP to complete bank verification",spam
"Enter the OTP to prevent your bank account from being blocked",spam
"Your OTP is required to verify your bank account",spam
"Send your OTP to confirm your banking details",spam
"Congratulations you won a cash prize. Click the link to claim",spam
"You have won a lottery prize. Pay the processing fee to receive it",spam
"Claim your reward by clicking this suspicious link",spam
"Your UPI account needs verification. Click the link immediately",spam
"Your UPI payment failed. Click here to receive a refund",spam
"Your bank has issued a refund. Verify your account to receive it",spam
text,labels
"Your bank account will be blocked. Verify immediately",spam
"Your bank account has been suspended. Verify your details now",spam
"Urgent: verify your bank account to avoid suspension",spam
"Your account will be blocked unless you complete verification",spam
"Complete your KYC verification immediately or your account will be blocked",spam
"Your KYC has expired. Click the link to update it",spam
"Verify your banking details immediately to keep your account active",spam
"Your bank account requires urgent verification",spam
"Click the link to verify your bank account immediately",spam
"Your account is at risk of suspension. Verify now",spam
"Your bank account has been restricted. Complete verification immediately",spam
"Update your KYC immediately to prevent account closure",spam
"Your bank account will be closed. Verify your identity now",spam
"Urgent bank verification required. Click the link now",spam
"Your account has been flagged. Verify your details immediately",spam
"Share your OTP to complete bank verification",spam
"Enter the OTP to prevent your bank account from being blocked",spam
"Your OTP is required to verify your bank account",spam
"Send your OTP to confirm your banking details",spam
"Congratulations you won a cash prize. Click the link to claim",spam
"You have won a lottery prize. Pay the processing fee to receive it",spam
"Claim your reward by clicking this suspicious link",spam
"Your UPI account needs verification. Click the link immediately",spam
"Your UPI payment failed. Click here to receive a refund",spam
"Your bank has issued a refund. Verify your account to receive it",spam
